date,open,high,low,close,volume
2024-09-21 03:00:00,2542.48,2550,2541.15,2544.12,710.174
2024-09-21 04:00:00,2544.17,2546.07,2528.75,2537.72,2421.712
2024-09-21 05:00:00,2537.79,2545.81,2535.01,2544.93,793.6514
2024-09-21 06:00:00,2544.67,2553.52,2542.81,2548.01,676.1273
2024-09-21 07:00:00,2548.01,2559.48,2546.52,2556.08,1008.2626
2024-09-21 08:00:00,2555.96,2557.73,2548.61,2549.53,530.3053
2024-09-21 09:00:00,2549.53,2553.42,2546.45,2553.14,430.7148
2024-09-21 10:00:00,2553.14,2553.71,2545,2547.01,298.591
2024-09-21 11:00:00,2547,2557.36,2545.66,2556.92,452.2409
2024-09-21 12:00:00,2556.6,2562.6,2551.3,2562.27,499.5869
2024-09-21 13:00:00,2562,2576.75,2556.86,2570.92,1708.4966
2024-09-21 14:00:00,2571.04,2575.75,2562.81,2567.78,1897.3889
2024-09-21 15:00:00,2567.79,2568.28,2550.89,2560.36,1205.8699
2024-09-21 16:00:00,2560.43,2567.5,2556.73,2560.49,614.3583
2024-09-21 17:00:00,2560.49,2573.28,2560.43,2570.4,1574.323
2024-09-21 18:00:00,2570.4,2572.66,2567.19,2570.39,811.046
2024-09-21 19:00:00,2570.4,2578.99,2569.28,2572.33,774.7418
2024-09-21 20:00:00,2572.18,2572.5,2565.12,2566.3,782.8744
2024-09-21 21:00:00,2566.29,2567.68,2560.56,2561.92,543.9209
2024-09-21 22:00:00,2562.04,2576.57,2560.47,2576.03,1184.5634
2024-09-21 23:00:00,2575.86,2623.26,2573.65,2613.16,10338.5961
2024-09-22 00:00:00,2612.77,2632.92,2605.07,2620.76,3010.0904
2024-09-22 01:00:00,2620.86,2621.94,2600.35,2600.91,1438.6202
2024-09-22 02:00:00,2601.01,2604.27,2588.62,2594.69,1560.8955
2024-09-22 02:00:00,2601.01,2604.27,2588.62,2594.69,1560.8955
2024-09-22 03:00:00,2594.7,2614.07,2592.32,2595.03,2537.3792
2024-09-22 04:00:00,2595.03,2605.04,2594.41,2598.85,822.0939
2024-09-22 05:00:00,2599.09,2600.04,2579.65,2582.65,882.0807
2024-09-22 06:00:00,2582.47,2590.89,2576.54,2580.42,647.2782
2024-09-22 07:00:00,2580.89,2588.85,2580.07,2588.37,680.6984
2024-09-22 08:00:00,2588.44,2596.23,2586.12,2595.36,971.0933
2024-09-22 09:00:00,2595.33,2595.33,2573.61,2579.85,1575.0012
2024-09-22 10:00:00,2579.85,2582.5,2569.84,2580.52,548.478
2024-09-22 11:00:00,2580.51,2585.45,2572.74,2580.84,560.0735
2024-09-22 12:00:00,2580.85,2585.87,2575.04,2581.35,368.1897
2024-09-22 13:00:00,2581.34,2588.28,2566.58,2570.73,1003.1566
2024-09-22 14:00:00,2570.9,2574.57,2554.25,2564.32,4629.2478
2024-09-22 15:00:00,2564.11,2576.05,2562.39,2570.42,820.7331
2024-09-22 16:00:00,2570.4,2574.89,2552.07,2571.22,5872.2416
2024-09-22 17:00:00,2571.04,2591.61,2569.72,2585.3,1248.8628
2024-09-22 18:00:00,2585.3,2586.15,2572.48,2576.74,902.1669
2024-09-22 19:00:00,2576.74,2583.26,2562.98,2578.01,1022.5369
2024-09-22 20:00:00,2578.49,2583.2,2571.98,2573.57,1364.194
2024-09-22 21:00:00,2573.46,2580,2545.49,2548.19,1347.0607
2024-09-22 22:00:00,2548.18,2594.71,2525,2589.77,4824.8992
2024-09-22 23:00:00,2589.43,2593.32,2573.99,2580.92,2096.9075
2024-09-23 00:00:00,2580.93,2603.49,2539.64,2593.89,4678.3391
2024-09-23 01:00:00,2593.97,2620.04,2588.68,2613.95,4143.7989
2024-09-23 02:00:00,2614.01,2642.82,2609.16,2636.17,4095.9747
2024-09-23 02:00:00,2614.01,2642.82,2609.16,2636.17,4095.9747
2024-09-23 03:00:00,2636.03,2686.97,2632.44,2676.3,8390.1493
2024-09-23 04:00:00,2676.7,2680.75,2656.55,2663.98,3108.3751
2024-09-23 05:00:00,2664.11,2665.4,2652.63,2657.39,1719.0762
2024-09-23 06:00:00,2657.38,2661.42,2651.76,2655.3,1053.4419
2024-09-23 07:00:00,2654.74,2656.61,2636.3,2646.2,1818.0023
2024-09-23 08:00:00,2646.19,2648.5,2636.71,2645.33,2581.9674
2024-09-23 09:00:00,2645.78,2662.79,2645.34,2656.18,2017.4166
2024-09-23 10:00:00,2656.3,2657.37,2633.73,2648.93,1934.23
2024-09-23 11:00:00,2649.07,2652.15,2637.57,2645.87,1480.0262
2024-09-23 12:00:00,2645.87,2651.88,2637.89,2645.79,2102.7359
2024-09-23 13:00:00,2645.76,2651.21,2630.86,2642.62,7695.4333
2024-09-23 14:00:00,2642.49,2672.67,2639.88,2660.55,10131.8872
2024-09-23 15:00:00,2660.26,2685.4,2648.2,2675.32,4656.0023
2024-09-23 16:00:00,2675.31,2704.62,2660.31,2663.76,15477.9419
2024-09-23 17:00:00,2663.5,2670.88,2657.82,2668.38,4584.0145
2024-09-23 18:00:00,2668.37,2692.55,2664.06,2679.68,3437.7852
2024-09-23 19:00:00,2679.67,2682.79,2668.4,2673.22,6687.3048
2024-09-23 20:00:00,2673.41,2682.59,2660.93,2661.64,2248.4231
2024-09-23 21:00:00,2661.64,2666.37,2644.91,2656.26,3549.2995
2024-09-23 22:00:00,2656.26,2656.78,2645.55,2646.52,2240.5705
2024-09-23 23:00:00,2646.68,2653.88,2638.4,2646.72,3907.3394
2024-09-24 00:00:00,2646.93,2651.38,2622.35,2627.87,6643.6614
2024-09-24 01:00:00,2627.91,2643.43,2616.29,2627.3,3676.1724
2024-09-24 02:00:00,2626.93,2630.32,2609.04,2621.04,4371.5047
2024-09-24 02:00:00,2626.93,2630.32,2609.04,2621.04,4371.5047
2024-09-24 03:00:00,2621.32,2629.64,2616.92,2626.94,2875.6402
2024-09-24 04:00:00,2626.98,2627.37,2617.84,2622.39,1801.5083
